Integer Column,Float Column,String Column,Bool Column,Datetime Column,Timedelta Column,Option Column,Complex Column
45,50.27991387470884,string6,False,2024-01-25 05:36:23.467914,1d 10h 51m 23s,option1,186.0+32.0i
48,58.52711103753424,string24,True,2024-01-07 05:36:23.467949,3d 14h 30m 0s,option2,41.0+66.0i
65,24.91414696395192,string48,True,2024-03-14 05:36:23.467960,7d 3h 46m 0s,option2,150.0+96.0i
68,17.73351520678697,string68,False,2024-02-06 05:36:23.467969,8d 3h 11m 23s,option3,32.0+98.0i
68,86.09850280554252,string39,True,2023-12-17 05:36:23.467979,4d 1h 6m 46s,option1,135.0+29.0i
10,6.79495730132032,string19,True,2024-01-01 05:36:23.467989,4d 10h 35m 47s,option3,29.0+18.0i
84,47.59146948788921,string95,False,2024-02-07 05:36:23.467996,6d 6h 11m 52s,option3,40.0+17.0i
22,12.467566128787643,string81,False,2023-12-23 05:36:23.468009,2d 23h 3m 49s,option3,59.0+2.0i
37,46.248817371805366,string32,True,2024-02-21 05:36:23.468019,0d 6h 33m 29s,option1,106.0+54.0i
88,98.01627030788862,string43,False,2024-03-17 05:36:23.468027,5d 14h 52m 22s,option1,70.0+56.0i
71,42.946928992091806,string48,False,2024-02-12 05:36:23.468035,3d 17h 30m 39s,option1,57.0+37.0i
89,85.85536683295217,string22,True,2024-01-12 05:36:23.468044,7d 11h 13m 32s,option2,160.0+66.0i
89,12.614240854136195,string98,False,2024-02-03 05:36:23.468051,0d 18h 54m 49s,option2,105.0+96.0i
13,27.85395559942455,string56,False,2024-02-09 05:36:23.468059,9d 9h 37m 44s,option1,147.0+31.0i
59,40.97548132606612,string75,True,2023-12-19 05:36:23.468066,1d 23h 35m 59s,option1,15.0+86.0i
66,40.58140186092374,string32,True,2023-12-21 05:36:23.468074,9d 3h 34m 20s,option1,161.0+12.0i
40,67.46696438834516,string84,False,2024-02-04 05:36:23.468082,5d 20h 6m 8s,option2,103.0+79.0i
88,35.127094610175256,string67,True,2024-01-09 05:36:23.468090,0d 12h 25m 38s,option2,16.0+8.0i
47,71.66291997259162,string20,True,2024-01-25 05:36:23.468099,7d 9h 58m 6s,option3,75.0+63.0i
89,64.27950302331385,string32,True,2024-01-06 05:36:23.468106,5d 4h 29m 39s,option1,85.0+34.0i
82,40.51695338022254,string20,True,2023-12-15 05:36:23.468115,3d 15h 22m 3s,option1,19.0+43.0i
